ﻣﺑﻠﻎ ﻧﮭﺎﯾﯽ,ﺟزء ﻣواد و لوازم مصرفی,جزء فنی,جزء حرفه ای,طﺒﻘﮫ ﺑﻨﺪی ﺧﺪﻣﺖ,ﺷﺮح ﺧﺪﻣﺖ,کد,ردیف,Service_id
"Rial 3,286,580",2.63,2.32,1.0,پیشگیری/ پروفیلاکسی دندانی,پروفيلاكسي-كودك,D1120,1.0,40001
"Rial 3,233,600",3.0,2.32,0.6,پیشگیری/درمان موضعی با فلوراید,کاربرد موضعی وارنیش فلوراید,D1206,2.0,40002
,,,,( درمان در مطب),,,,40003
"Rial 3,190,200",3.0,2.32,0.5,پیشگیری/درمان موضعی با فلوراید (درمان در مطب),کاربرد موضعی فلوراید به جز  وارنیش ,D1208,3.0,40004
"Rial 2,100,100",2.45,1.16,0.7,پیشگیری/سایر خدمات پیشگیری,دستورات بهداشت دهان ,D1330,4.0,40005
"Rial 3,886,940",6.69,1.58,0.8,پیشگیری/سایر خدمات پیشگیری,سيلانت-(Sealant) به ازاء هر دندان فیشورسیلنت,D1351,5.0,40006
"Rial 5,555,740",6.69,3.47,0.9,پیشگیری/سایر خدمات پیشگیری,ترمیم رزینی پیشگیری,D1352,6.0,40007
,,,,,در یک بیمار با خطر متوسط تا بالای پوسیدگی-دندان دائمی (PRR),,,40008
"Rial 4,523,340",6.69,2.32,0.8,پیشگیری/سایر خدمات پیشگیری,ترمیم یا تعمیر سیلانت موجود روی دندان-به ازا هر دندان,D1353,7.0,40009
"Rial 7,977,380",6.43,4.82,4.0,پیشگیری/ نگهداری(حفظ) فضا-دستگاه‌های غیر فعال,فضا نگهدار ثابت-یک طرفه,D1510,8.0,40010
"Rial 10,702,980",6.43,6.98,6.0,پیشگیری/ نگهداری(حفظ) فضا-دستگاه‌های غیر فعال,فضا نگهدار ثابت، دو طرفه، ماکسیلاری ,D1516,9.0,40011
"Rial 10,702,980",6.43,6.98,6.0,پیشگیری/ نگهداری(حفظ) فضا-دستگاه‌های غیر فعال,فضا نگهدار ثابت، دو طرفه، مندیبولار ,D1517,10.0,40012
"Rial 6,823,920",2.22,4.57,5.0,پیشگیری/ نگهداری(حفظ) فضا-دستگاه‌های غیر فعال,فضا نگهدار متحرک-یک طرفه,D1520,11.0,40013
"Rial 7,906,920",2.22,4.82,7.0,پیشگیری/ نگهداری(حفظ) فضا-دستگاه‌های غیر فعال,فضا نگهدار متحرک-دو طرفه، ماکسیلاری,D1526,12.0,40014
"Rial 7,906,920",2.22,4.82,7.0,پیشگیری/ نگهداری(حفظ) فضا-دستگاه‌های غیر فعال,فضا نگهدار متحرک-دو طرفه، مندیبولار,D1527,13.0,40015
"Rial 8,041,120",2.22,6.49,4.0,پیشگیری/ فضا نگه‌دار‌ها,فضا نگه دار Distal shoe، ثابت، یکطرفه,D1575,14.0,40016
"Rial 4,914,100",4.55,2.98,2.0,ترمیمی/ترمیم های آمالگام (شامل پرداخت),آمالگام-یک سطحی دندان‌های شیری یا دائمی,D2140,15.0,40017
"Rial 6,171,440",5.74,3.89,2.2,ترمیمی/ترمیم های آمالگام (شامل پرداخت),آمالگام-دو سطحی دندان‌های شیری یا دائمی,D2150,16.0,40018
"Rial 8,060,520",8.02,4.97,2.7,ترمیمی/ترمیم های آمالگام (شامل پرداخت),آمالگام-سه سطحی دندان‌های شیری یا دائمی,D2160,17.0,40019
"Rial 9,103,160",9.76,5.22,3.3,ترمیمی/ترمیم های آمالگام (شامل پرداخت),آمالگام-چهار سطحی یا بیشتر دندان‌های شیری یا دائمی,D2161,18.0,40020
"Rial 5,826,740",6.69,3.23,2.0,ترمیمی/ترمیم های آمالگام (شامل پرداخت),کامپوزیت رزینی-یک سطحی قدامي,D2330,19.0,40021
"Rial 7,506,260",8.11,4.14,3.0,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-دو سطحی قدامي,D2331,20.0,40022
"Rial 9,199,580",9.13,5.47,3.5,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-سه سطحی قدامي,D2332,21.0,40023
"Rial 9,962,020",10.17,5.71,4.0,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-چهار سطحی یا بیشتر یا شامل زاویه اینسایزال قدامي,D2335,22.0,40024
"Rial 5,826,740",6.69,3.23,2.0,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-یک سطحی خلفي,D2391,23.0,40025
"Rial 7,940,260",8.11,4.14,4.0,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-دو سطحی خلفي,D2392,24.0,40026
"Rial 10,024,180",9.13,5.47,5.4,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-سه سطحی خلفي,D2393,25.0,40027
"Rial 13,822,900",19.75,5.71,5.7,ترمیمی/ترمیم های کامپوزیت رزینی-مستقیم,کامپوزیت رزینی-چهار سطحی یا بیشتر خلفي,D2394,26.0,40028
"Rial 10,498,700",4.55,4.73,11.4,ترمیمی/رستوریشن‌های آنله واینله,اینله فلزی-یک سطحی,D2510,27.0,40029
"Rial 11,769,840",5.74,5.0,12.9,ترمیمی/رستوریشن‌های آنله واینله,اینله فلزی-دو سطحی,D2520,28.0,40030
"Rial 13,674,520",8.02,6.3,13.0,ترمیمی/رستوریشن‌های آنله واینله,اینله فلزی-سه سطحی یا بیشتر,D2530,29.0,40031
"Rial 12,594,440",5.74,5.0,14.8,ترمیمی/رستوریشن‌های آنله واینله,انله فلزی-دو سطحی,D2542,30.0,40032
"Rial 14,759,520",8.02,6.3,15.5,ترمیمی/رستوریشن‌های آنله واینله,انله فلزی-سه سطحی ,D2543,31.0,40033
"Rial 16,132,920",8.02,7.14,17.0,ترمیمی/رستوریشن‌های آنله واینله,انله فلزی-چهار سطحی یا بیشتر,D2544,32.0,40034
"Rial 12,107,320",8.02,4.73,12.5,ترمیمی/رستوریشن های آنله واینله پرسلن، سرامیکی غیر مستقیم,اینله - پرسلن/سرامیک-یک سطحی,D2610,33.0,40035
"Rial 12,556,520",8.02,5.0,13.0,ترمیمی/رستوریشن های آنله واینله پرسلن، سرامیکی غیر مستقیم,اینله پرسلن/سرامیک-دو سطحی,D2620,34.0,40036
"Rial 15,410,520",8.02,6.3,17.0,ترمیمی/رستوریشن های آنله واینله پرسلن، سرامیکی غیر مستقیم,اینله پرسلن/سرامیک-سه سطحی یا بیشتر,D2630,35.0,40037
"Rial 12,990,520",8.02,5.0,14.0,ترمیمی/رستوریشن های آنله واینله پرسلن، سرامیکی غیر مستقیم,انله پرسلن/سرامیک-دو سطحی,D2642,36.0,40038
"Rial 14,976,520",8.02,6.3,16.0,ترمیمی/رستوریشن های آنله واینله پرسلن، سرامیکی غیر مستقیم,انله پرسلن/سرامیک-سه سطحی ,D2643,37.0,40039
"Rial 16,783,920",8.02,7.14,18.5,ترمیمی/رستوریشن های آنله واینله پرسلن، سرامیکی غیر مستقیم,انله پرسلن/سرامیک-چهار سطحی یا بیشتر,D2644,38.0,40040
"Rial 11,239,740",6.69,4.73,11.5,ترمیمی/رستوریشن‌های آنله واینله کامپوزیت رزینی-غیر مستقیم,اینله کامپوزیت رزینی-یک سطحی,D2650,39.0,40041
"Rial 12,800,860",8.11,5.25,13.0,ترمیمی/رستوریشن‌های آنله واینله کامپوزیت رزینی-غیر مستقیم,اینله کامپوزیت رزینی-دو سطحی,D2651,40.0,40042
"Rial 15,772,380",9.13,6.3,17.0,ترمیمی/رستوریشن‌های آنله واینله کامپوزیت رزینی-غیر مستقیم,اینله کامپوزیت رزینی-سه سطحی یا بیشتر,D2652,41.0,40043
"Rial 12,585,860",8.11,5.0,13.0,ترمیمی/رستوریشن‌های آنله واینله کامپوزیت رزینی-غیر مستقیم,انله کامپوزیت رزینی-دو سطحی,D2662,42.0,40044
"Rial 15,123,380",9.13,6.05,16.0,ترمیمی/رستوریشن‌های آنله واینله کامپوزیت رزینی-غیر مستقیم,انله کامپوزیت رزینی-سه سطحی,D2663,43.0,40045
"Rial 16,833,820",10.17,7.14,17.0,ترمیمی/رستوریشن های آنله واینله کامپوزیت رزینی-غیر مستقیم,انله کامپوزیت رزینی-چهار سطحی یا بیشتر,D2664,44.0,40046
"Rial 20,096,600",7.4,10.47,20.0,ترمیمی/روکش‌ها، فقط تک رستوریشن,روکش-پرسلن یا سرامیک,D2740,45.0,40047
"Rial 17,646,800",7.4,9.64,16.0,ترمیمی/روکش‌ها، فقط تک رستوریشن,روکش-PFM  با فلز بيس متال,D2751,46.0,40048
"Rial 18,514,800",7.4,9.64,18.0,ترمیمی/روکش‌ها، فقط تک رستوریشن,روکش-PFM  با فلز نابل,D2752,47.0,40049
"Rial 15,824,200",7.4,8.53,14.0,ترمیمی/روکش ها، فقط تک رستوریشن,روکش-تمام ریختگی غالباْ بيس متال,D2791,48.0,40050
"Rial 3,299,540",3.19,1.82,1.6,ترمیمی/سایر خدمات ترمیمی,سمان یا باند مجدد پست و کور ساخته شده بصورت غیرمستقیم یا پیش ساخته ,D2915,49.0,40051
"Rial 3,686,140",3.19,2.32,1.5,ترمیمی/سایر خدمات ترمیمی,سمان یا باند مجدد روکش,D2920,50.0,40052
"Rial 7,362,700",8.95,3.15,4.0,ترمیمی/سایر خدمات ترمیمی,روکش استینلس استیل s.s crown پیش ساخته-دندان شیری,D2930,51.0,40053
"Rial 8,652,100",8.95,3.64,6.0,ترمیمی/سایر خدمات ترمیمی,روکش پیش ساخته استینلس,D2931,52.0,40054
,,,,,استیل s.s crown ـ دندان دائمی,,,40055
"Rial 8,578,760",6.56,5.47,4.0,ترمیمی/سایر خدمات ترمیمی,بيلد آپ کور (core) شامل هر نوع پین در صورت نیاز,D2950,53.0,40056
"Rial 3,021,840",2.24,2.16,1.0,ترمیمی/سایر خدمات ترمیمی,به ازاء هر دندان كه اضافه,D2951,54.0,40057
,,,,,بر رستوريشن دنداني است,,,40058
"Rial 9,463,360",6.56,4.48,8.0,ترمیمی/سایر خدمات ترمیمی,پست و كور (پست ریختگی),D2952,55.0,40059
"Rial 5,596,640",2.24,3.64,4.0,ترمیمی/سایر خدمات ترمیمی,درآوردن پست ,D2955,56.0,40060
"Rial 13,024,300",19.75,4.63,6.0,ترمیمی/سایر خدمات ترمیمی,ونیر لبیال (لامینیت رزینی)-داخل مطب,D2960,57.0,40061
"Rial 16,196,500",19.75,6.3,10.0,ترمیمی/سایر خدمات ترمیمی,ونیر لبیال (لامینیت رزینی)-لابراتوری,D2961,58.0,40062
"Rial 18,106,100",19.75,6.3,14.4,ترمیمی/سایر خدمات ترمیمی,ونیر لبیال (لامینیت پرسلني)-لابراتوری,D2962,59.0,40063
"Rial 9,275,760",6.56,4.06,8.4,ترمیمی/سایر خدمات ترمیمی,کوپینگ,D2975,60.0,40064
"Rial 7,340,760",6.56,3.98,4.1,ترمیمی/سایر خدمات ترمیمی,ترمیم روکش، که به دلیل شکست ماده ترمیم، ضرورت پیدا کرده است,D2980,61.0,40065
"Rial 16,669,900",19.75,4.63,14.4,ترمیمی/سایر خدمات ترمیمی,ترمیم ونیر، که به دلیل شکست ماده ترمیم، ضرورت پیدا کرده است,D2983,62.0,40066
"Rial 2,459,200",2.45,1.3,1.25,اندودانتیکس/پوشش پالپ,پوشش مستقیم پالپ-جدا از رستوريشن نهایی (DPC),D3110,63.0,40067
,,,,(pulp capping) ,,,,40068
"Rial 2,350,700",2.45,1.3,1.0,اندودانتیکس/پوشش پالپ,پوشش غیر مستقیم پالپ-جدا از رستوريشن نهایی (IDPC),D3120,64.0,40069
,,,,( pulp capping),,,,40070
"Rial 6,900,020",9.97,2.73,3.0,اندودانتیکس/پوشش پالپ,پالپوتومی درمانی (جدا از ترمیم نهایی),D3220,65.0,40071
,,,,( pulp capping),برداشت پالپ کرونالی تر از محل اتصال عاج و سمان و کاربرد ماده درمانی,,,40072
"Rial 7,769,420",9.97,3.64,3.2,اندو دانتیکس/پالپوتومی,پالپوتومی ناکامل جهت اپکسوژنز,D3222,66.0,40073
,,,,,دندان دائمی با رشد ناقص ریشه,,,40074
